,title,company,rating,search_city,location,salary,age,summary
129,Sponsorship Manager / Business Development Manager,Global Market Summits – Chancery Lane,,London,,"£35,000 - £50,000 a year",1 day ago,"As a Business Development Manager, you will be responsible for securing new commercial partners, sponsorship revenue, the delivery aspect of booked clients,…"
130,Embedded Software Engineer,Cambridge Quantum Computing,,London,,,30+ days ago,As a professional Embedded Engineer you will execute design of electronic circuitry and its associated embedded software development lifecycle.
131,Sales Executive - Full Time,Kisaco Research,,London,,"£20,000 - £35,000 a year",30+ days ago,"You will work on events in various industries (such as Beauty, Personal Care, Pharmaceuticals, Health, Technology, Artificial Intelligence) and geographies …"
132,Research Analyst,Give A Grad A Go,5.0,London,,"£28,000 a year",Just posted,"As their platform uses a blend of both human and artificial intelligence, they are looking for a Research Analyst to join their newly fledged team."
133,2020 UK Discover Graduate Technology,Vodafone,3.9,London,London,,6 days ago,What’s in it for you:5 sub-streams to the programme for you to express a preference.This allows you to choose what is right for you.
134,Deputy Head of Insight Team,Metropolitan Police,3.9,London,Westminster,"£2,623 a month",5 days ago,Evidence of use of artificial intelligence in order to forecast risks of harm and partnering links with universities who are investing in this technology.
135,Customer Success Associate (London),Echobox,,London,London,,30+ days ago,"We are looking for a Customer Success Associate to join our growing company.By ensuring high retention rates and outstanding customer satisfaction, you will…"
136,Office Manager,Echobox,,London,London,,30+ days ago,"As a member of our dynamic team, you will provide invaluable assistance in various fields, including office management, orchestrating social activities as well…"
137,Research Epidemiologist,Babylon Health,2.7,London,London,,30+ days ago,What we expect from you?PhD in epidemiology or public health (with a focus and previous experience in epidemiological methods).
138,Research Scientist (AI),Facebook,4.2,London,London,,30+ days ago,"Individuals in this role are expected to be recognized experts in identified research areas such as artificial intelligence, machine learning, computational…"
139,Leading Early Stage Fintech Venture Capital - Investment Ass...,Sainoo,,London,London,,30+ days ago,"Extract and synthesise ongoing research and track relevant trends and developments across insurance and risk management, including new distribution propositions…"
140,"Software Engineer, Android Kernel & Systems",Google,4.3,London,London,,18 days ago,"We're looking for engineers who bring fresh ideas from all areas, including information retrieval, distributed computing, large-scale system design, networking…"
141,Head of Insights,Tandem Bank,,London,London,,30+ days ago,Data and Business Intelligence expert.Your work will be done in a disruptive Artificial Intelligence framework therefore the insights you will deliver will…
142,DevOps Engineer,IntelliSense.io,,London,,,5 days ago,IntelliSense.io* has a great opportunity for a skilled DevOps Engineer to join our busy team.Role & Responsibilities –* You will be working in our engineering…
143,Sponsorship Executive / Business Development Executive,Global Market Summits – Chancery Lane,,London,,"£25,000 - £35,000 a year",1 day ago,"As a Business Development Executive, you will be responsible for securing new commercial partnerships revenue, grow the clients across both new and established…"
